LAT,LON,ALT,Temp,Press,AltGPS,AltBar,SpdGps
49.7194204,14.098229,457.302,16.00,96184.00,457.30,437.03,0.00
49.719518,14.0982294,457.572,16.00,96184.00,457.57,437.03,0.00
49.719518,14.0982294,457.572,16.00,96184.25,457.57,437.00,0.00
49.7195585,14.0982812,457.605,16.00,96184.25,457.61,437.00,0.00
49.7195585,14.0982812,457.605,16.00,96182.25,457.61,437.18,0.00
49.719599,14.0983331,457.637,16.00,96182.25,457.64,437.18,0.00
49.719599,14.0983331,457.637,16.00,96184.25,457.64,437.00,0.00
49.71956,14.0983851,460.807,16.00,96184.25,460.81,437.00,0.00
49.71956,14.0983851,460.807,16.00,96188.50,460.81,436.64,0.00
49.719599,14.0984328,460.87,16.00,96188.50,460.87,436.64,0.00
49.719599,14.0984328,460.87,16.00,96192.75,460.87,436.27,0.00
49.719638,14.0984806,460.932,16.00,96192.75,460.93,436.27,0.00
49.719638,14.0984806,460.932,16.00,96196.75,460.93,435.92,0.00
49.7196049,14.0984932,463.978,16.00,96192.75,463.98,436.27,0.00
49.7196402,14.0985386,464.071,16.00,96192.75,464.07,436.27,0.00
49.7196402,14.0985386,464.071,16.00,96194.50,464.07,436.11,0.00
49.7196755,14.098584,464.164,16.00,96194.50,464.16,436.11,0.00
49.7196755,14.098584,464.164,16.06,96192.25,464.16,436.31,0.00
49.719784,14.0986365,463.294,16.06,96192.25,463.29,436.31,0.00
49.719784,14.0986365,463.294,16.06,96194.50,463.29,436.11,0.00
49.7198232,14.0986779,463.379,16.06,96194.50,463.38,436.11,0.00
49.7198232,14.0986779,463.379,16.06,96192.25,463.38,436.31,0.00
49.7198625,14.0987193,463.465,16.06,96192.25,463.46,436.31,0.00
49.7198625,14.0987193,463.465,16.06,96190.75,463.46,436.44,0.00
49.7198719,14.0987763,461.942,16.06,96190.75,461.94,436.44,0.00
49.7198719,14.0987763,461.942,16.06,96194.00,461.94,436.16,0.00
49.7199129,14.0988136,462.014,16.06,96194.00,462.01,436.16,0.00
49.7199129,14.0988136,462.014,16.06,96194.75,462.01,436.09,0.00
49.719954,14.0988509,462.087,16.06,96194.75,462.09,436.09,0.00
49.719954,14.0988509,462.087,16.06,96190.00,462.09,436.51,0.00
49.7199993,14.0988777,463.25,16.06,96192.00,463.25,436.33,0.00
49.7200408,14.0989147,463.331,16.06,96192.00,463.33,436.33,0.00
49.7200408,14.0989147,463.331,16.06,96190.00,463.33,436.51,0.00
49.7200823,14.0989518,463.411,16.06,96190.00,463.41,436.51,0.00
49.7200823,14.0989518,463.411,16.12,96192.00,463.41,436.33,0.00
49.7200407,14.0989099,464.213,16.12,96192.00,464.21,436.33,0.00
49.7200407,14.0989099,464.213,16.12,96190.00,464.21,436.51,0.00
49.7200746,14.0989398,464.296,16.12,96190.00,464.30,436.51,0.00
49.7200746,14.0989398,464.296,16.12,96188.25,464.30,436.66,0.00
49.7201084,14.0989697,464.379,16.12,96188.25,464.38,436.66,0.00
49.7201084,14.0989697,464.379,16.12,96184.00,464.38,437.03,0.00
49.7200518,14.0989805,464.194,16.12,96184.00,464.19,437.03,0.00
49.7200518,14.0989805,464.194,16.12,96190.50,464.19,436.46,0.00
49.7200822,14.0990074,464.276,16.12,96190.50,464.28,436.46,0.00
49.7200822,14.0990074,464.276,16.12,96188.50,464.28,436.64,0.00
49.7201126,14.0990344,464.358,16.12,96188.50,464.36,436.64,0.00
49.7201126,14.0990344,464.358,16.12,96188.75,464.36,436.61,0.00
49.7201187,14.0989928,463.523,16.12,96188.75,463.52,436.61,0.00
49.7201496,14.0990199,463.598,16.12,96188.00,463.60,436.68,0.00
49.7201496,14.0990199,463.598,16.19,96198.25,463.60,435.79,0.00
49.7201805,14.099047,463.673,16.19,96198.25,463.67,435.79,0.00
49.7201805,14.099047,463.673,16.19,96194.00,463.67,436.16,0.00
49.720221,14.0990623,461.438,16.19,96194.00,461.44,436.16,0.00
49.720221,14.0990623,461.438,16.19,96190.50,461.44,436.46,0.00
49.7202537,14.0990852,461.499,16.19,96190.50,461.50,436.46,0.00
49.7202537,14.0990852,461.499,16.19,96192.75,461.50,436.27,0.00
49.7202864,14.0991081,461.56,16.19,96192.75,461.56,436.27,0.00
49.7202864,14.0991081,461.56,16.19,96204.50,461.56,435.25,0.00
49.7203458,14.0991154,457.521,16.19,96204.50,457.52,435.25,0.00
49.7203458,14.0991154,457.521,16.19,96208.25,457.52,434.92,0.00
49.7203798,14.0991338,457.548,16.19,96208.25,457.55,434.92,0.00
49.7203798,14.0991338,457.548,16.19,96216.50,457.55,434.20,0.00
49.7204139,14.0991522,457.575,16.19,96216.50,457.57,434.20,0.00
49.7204139,14.0991522,457.575,16.19,96218.75,457.57,434.01,0.00
49.7203681,14.0991925,452.953,16.19,96218.75,452.95,434.01,0.00
,,,16.25,96240.00,0.00,432.16,0.00
,,,16.25,96240.00,0.00,432.16,0.00
,,,16.19,96252.50,0.00,431.08,0.00
,,,16.25,96266.50,0.00,429.87,0.00
,,,16.25,96266.50,0.00,429.87,0.00
,,,16.25,96274.25,0.00,429.19,0.00
,,,16.25,96274.25,0.00,429.19,0.00
,,,16.25,96272.50,0.00,429.34,0.00
,,,16.25,96272.50,0.00,429.34,0.00
,,,16.25,96278.75,0.00,428.80,0.00
,,,16.25,96278.75,0.00,428.80,0.00
,,,16.31,96298.00,0.00,427.13,0.00
,,,16.31,96298.00,0.00,427.13,0.00
,,,16.31,96276.75,0.00,428.98,0.00
,,,16.31,96276.75,0.00,428.98,0.00
,,,16.31,96248.75,0.00,431.41,0.00
,,,16.31,96248.75,0.00,431.41,0.00
,,,16.31,96242.75,0.00,431.93,0.00
,,,16.31,96242.75,0.00,431.93,0.00
,,,16.38,96220.50,0.00,433.86,0.00
,,,16.31,96220.25,0.00,433.88,0.00
,,,16.31,96220.25,0.00,433.88,0.00
,,,16.38,96208.25,0.00,434.92,0.00
,,,16.38,96208.25,0.00,434.92,0.00
,,,16.38,96172.00,0.00,438.07,0.00
,,,16.38,96172.00,0.00,438.07,0.00
,,,16.38,96100.25,0.00,444.30,0.00
,,,16.38,96100.25,0.00,444.30,0.00
,,,16.38,96066.00,0.00,447.28,0.00
,,,16.38,96066.00,0.00,447.28,0.00
,,,16.38,96026.75,0.00,450.69,0.00
,,,16.38,96026.75,0.00,450.69,0.00
,,,16.38,95990.75,0.00,453.82,0.00
,,,16.38,95990.75,0.00,453.82,0.00
,,,16.44,95956.25,0.00,456.82,0.00
,,,16.44,95956.25,0.00,456.82,0.00
,,,16.44,95898.50,0.00,461.85,0.00
,,,16.44,95840.25,0.00,466.92,0.00
,,,16.44,95840.25,0.00,466.92,0.00
,,,16.44,95770.00,0.00,473.04,0.00
,,,16.44,95770.00,0.00,473.04,0.00
,,,16.44,95722.25,0.00,477.20,0.00
,,,16.44,95722.25,0.00,477.20,0.00
,,,16.44,95690.00,0.00,480.01,0.00
,,,16.44,95690.00,0.00,480.01,0.00
,,,16.44,95598.75,0.00,487.97,0.00
,,,16.44,95598.75,0.00,487.97,0.00
,,,16.44,95544.50,0.00,492.70,0.00
,,,16.44,95544.50,0.00,492.70,0.00
,,,16.44,95474.50,0.00,498.82,0.00
,,,16.44,95474.50,0.00,498.82,0.00
,,,16.44,95408.00,0.00,504.63,0.00
,,,16.44,95408.00,0.00,504.63,0.00
,,,16.50,95370.00,0.00,507.95,0.00
,,,16.50,95370.00,0.00,507.95,0.00
,,,16.50,95314.75,0.00,512.78,0.00
,,,16.50,95242.75,0.00,519.08,0.00
,,,16.50,95242.75,0.00,519.08,0.00
,,,16.50,95172.25,0.00,525.25,0.00
,,,16.50,95172.25,0.00,525.25,0.00
,,,16.50,95132.75,0.00,528.71,0.00
,,,16.50,95132.75,0.00,528.71,0.00
,,,16.50,95106.00,0.00,531.05,0.00
,,,16.50,95106.00,0.00,531.05,0.00
,,,16.50,95050.75,0.00,535.90,0.00
,,,16.50,95050.75,0.00,535.90,0.00
,,,16.50,94980.25,0.00,542.08,0.00
,,,16.50,94980.25,0.00,542.08,0.00
,,,16.50,94924.25,0.00,546.99,0.00
,,,16.50,94924.25,0.00,546.99,0.00
,,,16.50,94844.50,0.00,553.99,0.00
,,,16.50,94844.50,0.00,553.99,0.00
,,,16.56,94744.50,0.00,562.78,0.00
,,,16.56,94744.50,0.00,562.78,0.00
,,,16.56,94692.75,0.00,567.33,0.00
,,,16.56,94656.50,0.00,570.52,0.00
,,,16.56,94656.50,0.00,570.52,58.07
,,,16.56,94562.50,0.00,578.79,58.07
,,,16.56,94562.50,0.00,578.79,34.91
,,,16.56,94472.50,0.00,586.72,34.91
,,,16.56,94472.50,0.00,586.72,0.00
,,,16.56,94354.25,0.00,597.14,30.83
